unique_name,strongs,founder,people_group,latitude,lat,longitude,long,bcv_id
Arad@Num.21.1,H6166A,Arad@1Ch.8.15,,31.28098170907087,31.2,35.12636584365214,35.1,num.21.1
Aram-maacah@1Ch.19.6,H0758K,,,33.2,33.2,36.5,36.5,1ch.19.6
Aram-naharaim@Psa.60.1,H0763H,,,35.1,35.1,42.0,42.0,psa.60.1
Aram-zobah@Psa.60.1,H0760,,,33.519299,33.5,36.31344999999999,36.3,psa.60.1
Ararat@Gen.8.4,H0780,,,39.70289295384448,39.7,44.29818047261773,44.2,gen.8.4
Areopagus@Act.17.19,G0697,,,37.98333333333333,37.9,23.73333333333333,23.7,act.17.19
Argob@Deu.3.4,H0709G,,,33.144,33.1,36.136,36.1,deu.3.4
Arnon@Num.21.13,H0769,,,31.428800,31.4,35.677009,35.6,num.21.13
Aroer@Num.32.34,H6177G,,,31.9617,31.9,35.9115,35.9,num.32.34
Aroer@Deu.2.36,H6177H,,,31.47109529828131,31.4,35.82200331579328,35.8,deu.2.36
Aroer@1Sa.30.28,H6177I,,,31.14893187321126,31.1,34.9848522498051,34.9,1sa.30.28
Arpad@2Ki.18.34,H0774,,,35.136204,35.1,36.749488,36.7,2ki.18.34
Arubboth@1Ki.4.10,H0700,,,31.68123465358001,31.6,34.97639817516712,34.9,1ki.4.10
Arumah@Jdg.9.41,H0725,,,32.154887,32.1,35.318192,35.3,jdg.9.41
Arvad@Ezk.27.8,H0719,,,34.856082,34.8,35.858485,35.8,ezk.27.8
Ashan@Jos.15.42,H6228,,,31.8099,31.8,34.9365,34.9,jos.15.42
Ashdod@Jos.11.22,H0795,,,31.80299971086164,31.8,34.6351145939134,34.6,jos.11.22
Ashkelon@Jos.13.3,H0831,,,31.66240510553615,31.6,34.54722773494757,34.5,jos.13.3
Ashkenaz@Jer.51.27,H0813H,,,40.6,40.6,44.6,44.6,jer.51.27
Ashnah@Jos.15.33,H0823,,,31.8099,31.8,34.9365,34.9,jos.15.33
Ashtaroth@Deu.1.4,H6252,,,32.8333333333,32.8,36.0166666667,36.0,deu.1.4
Ashteroth-karnaim@Gen.14.5,H6255,,,32.7666666667,32.7,36.0166666667,36.0,gen.14.5
Asia@Act.2.9,G0773,,,39.23,39.2,32.73,32.7,act.2.9
Assos@Act.20.13,G0789,,,39.48955031303715,39.4,26.33586734239906,26.3,act.20.13
Assyria@Gen.2.14,H0804G,Asshur@Gen.10.11,,36.359410,36.3,43.152887,43.1,gen.2.14
Atad@Gen.50.10,H0329G,,,0,,14z,,gen.50.10
Ataroth@Num.32.3,H5852G,,,31.60000000000001,31.6,35.7,35.7,num.32.3
Ataroth@Jos.16.2,H5852H,,,31.85891795409998,31.8,35.12831317484221,35.1,jos.16.2
Ataroth-addar@Jos.16.5,H5853,,,31.85891795409998,31.8,35.12831317484221,35.1,jos.16.5
Athach@1Sa.30.30,H6269,,,0,,14z,,1sa.30.30
Atharim@Num.21.1,H0871,,,30.880918,30.8,34.630620,34.6,num.21.1
Athens@Act.17.15,G0116,,,37.98333333333333,37.9,23.73333333333333,23.7,act.17.15
