unique_name,qualifer,significance,estrong,dstrong,original,esv_name
Amaw@Num.22.5,,- Named,H5971J,H5971a,עַם,"Amaw (KJV, NIV= people)"
Ammah@2Sa.2.24,,- Named,H0522,H0522,אַמָּה,Ammah
Ammon@Deu.2.19,,- Named,H5983,H5983,עַמּוֹן,Ammon
Ammon@Deu.2.19,,- (same as previous),H5983,H5983,עַמּוֹן,Ammonite
Ammon@Deu.2.19,,- Named,H5984H,H5984,עַמּוֹנִי,Ammon
Ammon@Deu.2.19,,- (same as previous),H5984H,H5984,עַמּוֹנִי,Ammonite
Ammon@Deu.2.19,,- (same as previous),H5985,H5985,עַמּוֹנִית,Ammonitess
Ammon@Deu.2.19,Ham,- Named,H1990,H1990,הָ֑ם,Ham
Ammon@Deu.2.19,Rabbah,- Named,H7237,H7237,רַבָּה,Rabbah
Ammon@Deu.2.19,Rabbah,- (same as previous),H7237,H7237,רַבָּה,Rabbah (KJV= Rabbath)
Amphipolis@Act.17.1,,- Named,G0295,G0295,Ἀμφίπολις,Amphipolis
Anab@Jos.11.21,,- Named,H6024,H6024,עֲנָב,Anab
Anaharath@Jos.19.19,,- Named,H0588,H0588,אֲנָֽחֲרָ֑ת,Anaharath
Ananiah@Neh.11.32,,- Named,H6055H,H6055,עֲנַנְיָה,Ananiah
Anathoth@Jos.21.18,,- Named,H6068G,H6068,עֲנָתוֹת,Anathoth
Anathoth@Jos.21.18,,- Spelled,H6069,H6069,עַנְּתֹתִי,Anathoth
Angle@2Ch.26.9,,- Named,H4740G,H4740,מִקְצֹעַ,Angle (KJV= turning; NIV= angle)
Anim@Jos.15.50,,- Named,H6044,H6044,עָנִים,Anim
Antioch@Act.6.5,,- Named,G0490G,G0490,Ἀντιόχεια,Antioch
Antioch@Act.6.5,,- Group,G0491,G0491,Ἀντιοχεύς,Antiochian
Antioch@Act.13.14,,- Named,G0490H,G0490,Ἀντιόχεια,Antioch
Antipatris@Act.23.31,,- Named,G0494,G0494,Ἀντιπατρίς,Antipatris
Aphek@Jos.12.18,,- Named,H0663G,H0663,אֲפֵק,Aphek
Aphek@Jos.12.18,Aphekah,- Named,H0664,H0664,אֲפֵקָה,Aphekah
Aphek@Jos.13.4,,- Named,H0663H,H0663,אֲפֵק,Aphek
Aphek@Jos.13.4,,- (same as previous),H0663H,H0663,אֲפֵק,Aphik (NIV= Aphek)
Aphek@1Ki.20.26,,- Named,H0663I,H0663,אֲפֵק,Aphek
Apollonia@Act.17.1,,- Named,G0624,G0624,Ἀπολλωνία,Apollonia
Ar@Num.21.15,,- Named,H6144,H6144,עָר,Ar
Arab@Jos.15.52,,- Named,H0694,H0694,אֲרָב,Arab
Arabah@Deu.1.1,,- Named,H6160G,H6160,עֲרָבָה,Arabah
Arabah@Deu.1.1,desert,- (same as previous),H6160G,H6160,עֲרָבָה,desert (KJV= wilderness; NIV=Arabah)
Arabah@Deu.1.1,plain,- (same as previous),H6160G,H6160,עֲרָבָה,plain (NIV=Arabah)
Arabia@2Sa.23.35,,- Named,H6152B,H6152b,עֲרָב,Arabia
Arabia@2Sa.23.35,west,- (same as previous),H6152B,H6152b,עֲרָב,"Arabia (KJV, NIV= Arabia)"
Arabia@2Sa.23.35,,- Spelled,H6152A,H6152a,עֲרַב,Arabia
Arabia@2Sa.23.35,,- Spelled,H6154A,H6154a,עֵ֫רֶב,Arabia
Arabia@2Sa.23.35,,- Group,H6163B,H6163b,עַרְבִי,Arabian
Arabia@2Sa.23.35,,- (same as previous),H6163B,H6163b,עַרְבִי,Arab
Arabia@2Sa.23.35,,- (same as previous),H6163B,H6163b,עַרְבִי,Arab
Arabia@2Sa.23.35,,- Group,H6163A,H6163a,עֲרָבִי,Arab
Arabia@2Sa.23.35,Arbite,- Group,H0701,H0701,אַרְבִּי,Arbite
Arabia@2Sa.23.35,,Greek,G0688,G0688,Ἀραβία,Arabia
Arabia@2Sa.23.35,,- Group,G0690,G0690,Ἄραψ,Arabian
Arad@Num.21.1,,- Named,H6166A,H6166a,עֲרָד,Arad
Aram-maacah@1Ch.19.6,," - Name Combined",H0758K,,H0758,Aram/-maacah (KJV= Syria-maachah; NIV= Aram Maakah)
Aram-naharaim@Psa.60.1,,- Named,H0763H,H0763,אֲרַם נַהֲרַיִם,Aram-naharaim (NIV= Aram Naharaim)
Aram-zobah@Psa.60.1,,- Named,H0760,H0760,אֲרַם צוֹבָה,Aram-zobah (NIV= Aram Zobah)
Ararat@Gen.8.4,,- Named,H0780,H0780,אֲרָרַט,Ararat
Areopagus@Act.17.19,,- Named,G0697,G0697,Ἄρειος Πάγος,Areopagus
Areopagus@Act.17.19,,- Group,G0698,G0698,Ἀρεοπαγίτης,Areopagite
Argob@Deu.3.4,,- Named,H0709G,H0709,אַרְגֹּב,Argob
Arnon@Num.21.13,,- Named,H0769,H0769,אַרְנוֹן,Arnon
Aroer@Num.32.34,,- Named,H6177G,H6177,"עֲרֹעֵר, עֲדְעָדָה",Aroer
Aroer@Num.32.34,,- Group,H6200,H6200,עֲרֹעֵרִי,Aroerite
Aroer@Deu.2.36,,- Named,H6177H,H6177,"עֲרֹעֵר, עֲדְעָדָה",Aroer
Aroer@1Sa.30.28,,- Named,H6177I,H6177,"עֲרֹעֵר, עֲדְעָדָה",Aroer
