unique_name,qualifer,significance,estrong,dstrong,original,esv_name
Bethel@Jos.12.16,,- Named,H1008H,H1008,בֵּֽיתְ־אֵל,Bethel
Beth-emek@Jos.19.27,,- Named,H1025,H1025,בֵּית הָעֵ֫מֶק,Beth-emek (NIV= Beth Emek)
Bether_Mountain@Sng.2.17,cleft,- Named,H1336,H1336,בֶּ֫תֶר,cleft (KJV= Bether; NIV= rugged)
Bethesda@Jhn.5.2,,- Named,G0964,G0964,Βηθεσδά,Bethesda
Bethesda@Jhn.5.2,Bethzatha,- (same as previous),G0964,G0964,Βηθζαθά,(Variant= Bethzatha)
Beth-ezel@Mic.1.11,,- Named,H1018,H1018,בֵּית הָאֵצֶל,Beth-ezel (NIV= Beth Ezel)
Beth-gader@1Ch.2.51,,- Named,H1013,H1013,בֵּית־גָּדֵר,Beth-gader (NIV= Beth Gader)
Beth-gamul@Jer.48.23,,- Named,H1014,H1014,בֵּית גָּמוּל,Beth-gamul (NIV= Beth Gamul)
Beth-haccherem@Neh.3.14,,- Named,H1021,H1021,בֵּית הַכֶּ֫רֶם,Beth-haccherem (KJV= Beth-haccerem)
Beth-haggan@2Ki.9.27,," - Name Combined",H1004H,,H1004b,Beth/-haggan (KJV= garden house)
Beth-haram@Jos.13.27,,- Named,H1027,H1027,בֵּית הָרָם,Beth-haram (KJV= Beth-aram; NIV= Beth Haram)
Beth-haram@Jos.13.27,Beth-haran,- Named,H1028,H1028,בֵּית הָרָן,Beth-haran (NIV= Beth Haran)
Beth-hoglah@Jos.15.6,,- Named,H1031,H1031,בֵּית חׇגְלָה,Beth-hoglah (NIV= Beth Hoglah)
Lower_Beth-horon@Jos.16.3,Beth-horon,- Named,H1032G,H1032,בֵּית חוֹרֹן,Beth-horon (NIV= Beth Horon)
Lower_Beth-horon@Jos.16.3,," - Name Combined",H1032I,,H1032,Lower/ Beth-horon (NIV= Lower Beth Horon)
Upper_Beth-horon@Jos.16.5,," - Name Combined",H1032H,,H1032,Upper/ Beth-horon (NIV= Upper Beth Horon)
Beth-jeshimoth@Num.33.49,,- Named,H1020,H1020,בֵּית הַיְשִׁימוֹת,Beth-jeshimoth (NIV= Beth Jeshimoth)
Beth-lebaoth@Jos.19.6,,- Named,H1034,H1034,בֵּית לְבָאוֹת,Beth-lebaoth (NIV= Beth Lebaoth)
Beth-merchak@2Sa.15.17,,- Named,H1023,H1023,בֵּית הַמֶּרְחָק,Beth-merchak (ESV= the last house; KJV= a place that was far off; NIV= the edge of the city)
Bethlehem@Gen.35.16,,- Named,H1035G,H1035,בֵּית לֶ֫חֶם,Bethlehem
Bethlehem@Gen.35.16,,- Group,H1022,H1022,בֵּית הַלַּחְמִי,Bethlehemite
Bethlehem@Gen.35.16,Lehem,- Named,H3433,H3433,יָשֻׁ֫בִי לָ֑חֶם,Lehem (KJV= Jashubi-lehem)
Bethlehem@Gen.35.16,Ephrath,- Named,H0672H,H0672,אֶפְרָ֫תָה,Ephrath
Bethlehem@Gen.35.16,Ephrathah,- (same as previous),H0672H,H0672,אֶפְרָ֫תָה,Ephrathah (KJV= Ephratah)
Bethlehem@Gen.35.16,,Greek,G0965,G0965,Βηθλεέμ,Bethlehem
Bethlehem@Jos.19.15,,- Named,H1035H,H1035,בֵּית לֶ֫חֶם,Bethlehem (KJV= Beth-lehem)
Beth-millo@Jdg.9.6,,- Named,H1037,H1037,בֵּית מִלּוֹא,Beth-millo (KJV= house of Millo; NIV= Beth Millo)
Beth-millo@Jdg.9.6,,- (same as previous),H1037,H1037,בֵּית מִלּוֹא,"house of Millo (KJV, NIV= Beth-millo)"
Beth-nimrah@Num.32.36,,- Named,H1039,H1039,בֵּית נִמְרָה,Beth-nimrah (NIV= Beth Nimrah)
Beth-nimrah@Num.32.36,Nimrah,- Named,H5247,H5247,נִמְרָה,Nimrah
Beth-pazzez@Jos.19.21,,- Named,H1048,H1048,בֵּית פַּצֵּץ,Beth-pazzez (NIV= Beth Pazzez)
Beth-pelet@Jos.15.27,,- Named,H1046,H1046,בֵּית פָּ֑לֶט,Beth-pelet (KJV= Beth-palet; NIV= Beth Pelet)
Beth-pelet@Jos.15.27,,- (same as previous),H1046,H1046,בֵּית פָּ֑לֶט,Beth-pelet (KJV= Beth-phelet; NIV= Beth Pelet)
Beth-peor@Deu.3.29,,- Named,H1047,H1047,בֵּית פְּעוֹר,Beth-peor (NIV= Beth Peor)
Bethphage@Mat.21.1,,- Named,G0967,G0967,Βηθφαγή,Bethphage
Beth-rehob@Jdg.18.28,,- Named,H1050,H1050,בֵּית־רְחוֹב,Beth-rehob (NIV= Beth Rehob)
Beth-rehob@Jdg.18.28,Rehob,- Named,H7340K,H7340,רְחוֹב,Rehob
Bethsaida@Mat.11.21,,- Named,G0966,G0966,Βηθσαϊδά,Bethsaida
Beth-shan@1Sa.31.10,,- Named,H1052,H1052,בֵּית שְׁאָן,Beth-shean (NIV= Beth Shan)
Beth-shan@1Sa.31.10,,- (same as previous),H1052,H1052,בֵּית שְׁאָן,Beth-shan (NIV= Beth Shan)
Beth-shemesh@Jos.15.10,,- Named,H1053G,H1053,בֵּית שֶׁ֫מֶשׁ,Beth-shemesh (NIV= Beth Shemesh)
Beth-shemesh@Jos.15.10,,- Spelled,H1030,H1030,בֵּית־הַשִּׁמְשִׁי,Beth-shemesh (NIV= Beth Shemesh)
Beth-shemesh@Jos.15.10,,- Spelled,H5905,H5905,עִיר שָׁ֑מֶשׁ,Ir-shemesh (NIV= Ir Shemesh)
Beth-shemesh@Jos.15.10,Heres_Mount,- Named,H2776H,H2776,חֶ֫רֶס,(Mount )Heres
Beth-shemesh@Jos.19.22,,- Named,H1053H,H1053,בֵּית שֶׁ֫מֶשׁ,Beth-shemesh (NIV= Beth Shemesh)
Beth-shemesh@Jos.19.38,,- Named,H1053I,H1053,בֵּית שֶׁ֫מֶשׁ,Beth-shemesh (NIV= Beth Shemesh)
Beth-shittah@Jdg.7.22,,- Named,H1029,H1029,בֵּית הַשִּׁטָּה,Beth-shittah (NIV= Beth Shittah)
Beth-tappuah@Jos.15.53,,- Named,H1054,H1054,בֵּית־תַּפּוּחַ,Beth-tappuah (NIV= Beth Tappuah)
Beth-togarmah@Ezk.27.14,," - Name Combined",H1004I,,H1004b,Beth/-togarmah (KJV= house of Togarmah)
Bethuel@1Ch.4.30,,- Named,H1328B,H1328b,בְּתוּאֵל,Bethuel
Bethul@Jos.19.4,,- Named,H1329,H1329,בְּתוּל,Bethul
Beth-zur@Jos.15.58,,- Named,H1049,H1049,בֵּית־צוּר,Beth-zur (NIV= Beth Zur)
Betonim@Jos.13.26,,- Named,H0993,H0993,בְּטֹנִים,Betonim
Bezek@Jdg.1.4,,- Named,H0966G,H0966,בֶּ֫זֶק,Bezek
Bezek@1Sa.11.8,,- Named,H0966H,H0966,בֶּ֫זֶק,Bezek
Bezer@Deu.4.43,,- Named,H1221G,H1221,בֶּ֫צֶר,Bezer
Bezer@Deu.4.43,Bozrah,- Named,H1224H,H1224,בׇּצְרָה,Bozrah
Bilhah@1Ch.4.29,,- Named,H1090B,H1090b,בִּלְהָה,Bilhah
Bithron@2Sa.2.29,morning,- Named,H1338,H1338,בִּתְרוֹן,Bithron
Bithynia@Act.16.7,,- Named,G0978,G0978,Βιθυνία,Bithynia
Biziothiah@Jos.15.28,,- Named,H0964,H0964,בִּזְיוֹתְיָה,Biziothiah
Bor-ashan@1Sa.30.30,,- Named,H3565,H3565,בּוֹר עָשָׁן,Bor-ashan (KJV= Chor-ashan)
Bozez@1Sa.14.4,,- Named,H0949,H0949,בּוֹצֵץ,Bozez
Bozkath@Jos.15.39,,- Named,H1218,H1218,בׇּצְקַת,Bozkath
Bozrah@Gen.36.33,,- Named,H1224G,H1224,בׇּצְרָה,Bozrah
Broad_Wall@Neh.3.8,," - Name Combined",H7342G,,H7342,Broad/ Wall (KJV= broad wall)
Brook_of_Egypt@Num.34.5,Shihor,- Named,H7883G,H7883,שִׁיחוֹר,Shihor
Brook_of_Egypt@Num.34.5,,- Named,H5158M,H5158a,נַ֫חַל,Brook (KJV= river)
Brook_of_Egypt@Num.34.5,," - Name Combined",H4714J,,H4714,Brook/ of Egypt (KJV= river of Egypt; NIV= Wadi of Egypt)
Brook_of_the_Arabah@Amo.6.14,," - Name Combined",H6160H,,H6160,Brook/ of the Arabah (KJV= river of the wilderness; NIV= valley of the Arabah)
Brook_of_the_Willows@Isa.15.7,," - Name Combined",H6155G,,H6155,Brook/ of the Willows (KJV= brook of the willows; NIV= Ravine of the Poplars)
Buz@Jer.25.23,,- Named,H0938I,H0938,בּוּז,Buz
Cabbon@Jos.15.40,,- Named,H3522,H3522,כַּבּוֹן,Cabbon (NIV= Kabbon)
Cabul@Jos.19.27,,- Named,H3521G,H3521,כָּבוּל,Cabul
Cabul@1Ki.9.13,,- Named,H3521H,H3521,כָּבוּל,Cabul
Caesarea@Act.8.40,,- Named,G2542H,G2542,Καισάρεια,Caesarea
Caesarea_Philippi@Mat.16.13,," - Name Combined",G2542G,,G2542,Caesarea/ Philippi
Calah@Gen.10.11,,- Named,H3625,H3625,כֶּ֫לַח,Calah
Caleb_Ephrathah@1Ch.2.24,,- Named,H3613,H3613,כָּלֵב אֶפְרָתָה,Caleb
Calneh@Gen.10.10,,- Named,H3641A,H3641a,כַּלְנֵ֑ה,Calneh (NIV= Kalneh)
Calneh@Gen.10.10,,- Spelled,H3641B,H3641b,כַּלְנֶה,Calneh (NIV= Kalneh)
Calneh@Gen.10.10,Calno,- (same as previous),H3641B,H3641b,כַּלְנֶה,Calno (NIV= Kalno)
Calneh@Gen.10.10,,- Named,H3656,H3656,כַּנֶּה,Canneh (NIV= Kanneh)
Cana@Jos.19.28,Kanah,- Named,H7071H,H7071,קָנָה,Kanah
Cana@Jos.19.28,,Greek,G2580,G2580,Κανᾶ,Cana
Canaan@Gen.10.18,,- Named,H3667A,H3667a,כְּנַ֫עַן,Canaan
Canaan@Gen.10.18,,- (same as previous),H3667A,H3667a,כְּנַ֫עַן,Canaanite
Canaan@Gen.10.18,,- Group,H3669A,H3669a,כְּנַעֲנִי,Canaanite
Canaan@Gen.10.18,,- (same as previous),H3669A,H3669a,כְּנַעֲנִי,Canaanite
Canaan@Gen.10.18,trading,- Group,H3667B,H3667b,כְּנַ֫עַן,trading (KJV= Canaan; NIV= merchants)
Canaan@Gen.10.18,,Greek,G5477,G5477,Χαναάν,Canaan (KJV= Chanaan)
Canaan@Gen.10.18,,- (same as previous),G5477,G5477,Χαναάν,Canaan (KJV= Chanaan)
Canaan@Gen.10.18,,- Group,G5478,G5478,Χανααναῖος,Canaanite
Capernaum@Mat.4.13,,- Named,G2584,G2584,Καπερναούμ,Capernaum
Cappadocia@Act.2.9,,- Named,G2587,G2587,Καππαδοκία,Cappadocia
Carchemish@2Ch.35.20,,- Named,H3751,H3751,כַּרְכְּמִישׁ,Carchemish
Carmel@Jos.12.22,,- Named,H3760G,H3760,כַּרְמֶל,Carmel
Carmel@Jos.12.22,,- Spelled,H3761,H3761,כַּרְמְלִי,Carmel
Carmel@Jos.12.22,Racal,- Named,H7403,H7403,רָכָל,Racal (KJV= Rachal; NIV= Rakal)
Carmel@Jos.12.22,,- Group,H3761,H3761,כַּרְמְלִי,Carmelite
Carmel@Jos.12.22,,- Group,H3762,H3762,כַּרְמְלִית,Carmelitess
Carmel_Mount@1Ki.18.19,,- Named,H3760H,H3760,כַּרְמֶל,(Mount )Carmel
Carmel_Mount@1Ki.18.19,,- (same as previous),H3760H,H3760,כַּרְמֶל,Carmel
Casiphia@Ezr.8.17,,- Named,H3703,H3703,כָּסִפְיָא,Casiphia (NIV= Kasiphia)
Cauda@Act.27.16,,- Named,G2802,G2802,"Κλαύδη, Καῦδα",Cauda
Cenchreae@Act.18.18,,- Named,G2747,G2747,Κεγχρεαί,Cenchreae (KJV= Cenchrea)
Chaldea@Gen.11.28,,- Named,H3778,H3778,כַּשְׂדִּים,Chaldea
Chaldea@Gen.11.28,,- (same as previous),H3778,H3778,כַּשְׂדִּים,Chaldean
Chaldea@Gen.11.28,,- Aramaic,H3679,H3679,כַּשְׂדָּ֑י,Chaldean
Chaldean@Gen.11.28,astrologer,- Group,H3779,H3779,כַּשְׂדַּי,Chaldean (NIV= astrologers)
Chaldean@Gen.11.28,astrologer,- (same as previous),H3779,H3779,כַּשְׂדַּי,Chaldean (NIV= Babylonians)
Chaldea@Gen.11.28,,Greek,G5466,G5466,Χαλδαῖος,Chaldean
Chebar@Ezk.1.1,,- Named,H3529,H3529,כְּבָר,Chebar
Chephar-ammoni@Jos.18.24,," - Name Combined",H3723G,,H3723,Chephar/-ammoni (=Ketiv. Qere= Chephar-ammonah; KJV= Chephar-haammonai; NIV= Kephar Ammoni)
Chephirah@Jos.9.17,,- Named,H3716,H3716,כְּפִירָה,Chephirah (NIV=Kephirah)
Chephirah@Jos.9.17,,- (same as previous),H3716,H3716,כְּפִירָה,Chephirah (NIV= -)
Cherith@1Ki.17.3,,- Named,H3747,H3747,כְּרִית,Cherith
Cherub@Ezr.2.59,,- Named,H3743,H3743,כְּרוּב,Cherub
Cherub@Ezr.2.59,,- Greek,G5502,G5502,χερουβίμ,Cherub
Chesalon@Jos.15.10,,- Named,H3693,H3693,כְּסָלוֹן,Chesalon
Chesalon@Jos.15.10,Jearim_Mount,- Named,H3297,H3297,יְעָרִים,(Mount )Jearim
Chesil@Jos.15.30,,- Named,H3686,H3686,כְּסִיל,Chesil
Chesulloth@Jos.19.18,,- Named,H3694,H3694,כְּסֻלּוֹת,Chesulloth
Chesulloth@Jos.19.18,Chisloth-tabor,- Named,H3696,H3696,כִּסְלֹת תָּבֹר,Chisloth-tabor (NIV= Kisloth Tabor)
Chesulloth@Jos.19.18,Tabor,- Named,H8396I,H8396,תָּבוֹר,Tabor
Chilmad@Ezk.27.23,,- Named,H3638,H3638,כִּלְמָד,Chilmad
Chinnereth@Jos.19.35,,- Named,H3672I,H3672,כִּנֶּ֫רֶת,Chinnereth
Chinneroth@Jos.11.2,,- Named,H3672H,H3672,כִּנֶּ֫רֶת,Chinneroth (KJV= Cinneroth; NIV= Kinnereth)
Chios@Act.20.15,,- Named,G5508,G5508,Χίος,Chios
Chitlish@Jos.15.40,,- Named,H3798,H3798,כִּתְלִישׁ,Chitlish
Chorazin@Mat.11.21,,- Named,G5523,G5523,Χοραζίν,Chorazin
Cilicia@Act.6.9,,- Named,G2791,G2791,"Κιλικία, Κιλικία",Cilicia
City_of_Salt@Jos.15.62,,- Named,H5898,H5898,עִיר־הַמֶּ֫לַח,City of Salt
Cnidus@Act.27.7,,- Named,G2834,G2834,Κνίδος,Cnidus
Colossae@Col.1.2,,- Named,G2857G,G2857,Κολοσσαί,Colossae (KJV= Colosse)
Colossae@Col.1.2,,- Spelling,G2857H,G2857,Κολασσαί,"Colossae (Var, KJV= Colosse)"
Colossae@Col.1.2,,- Group,G2858,G2858,Κολaσσαεύς,[ ] (KJV= Colossians)
Corban@Mat.27.6,,- Named,G2878,G2878,κορβᾶν,Corban
Corban@Mat.27.6,treasury,- (same as previous),G2878,G2878,κορβᾶν,treasury
Corinth@Act.18.1,,- Named,G2882,G2882,Κόρινθος,Corinth
Corinth@Act.18.1,Corinthus,- (same as previous),G2882,G2882,Κόρινθος,"Corinthus (ESV, NIV= [ ])"
Corinth@Act.18.1,,- Group,G2881,G2881,Κορίνθιος,Corinthian
Corner_Gate@2Ki.14.13,,- Named,H6438G,H6438,פִּנָּה,Corner( Gate)
Corner_Gate@2Ki.14.13,,- Spelled,H6437H,H6437,פָּנָה,Corner( Gate)
Corner_Gate@2Ki.14.13,,- Spelled,H6434,H6434,פֵּן,Corner( Gate)
Cos@Act.21.1,,- Named,G2972,G2972,Κώς,Cos
Crete@Deu.2.23,Caphtor,- Named,H3731,H3731,כַּפְתּוֹר,Caphtor
Crete@Deu.2.23,,Greek,G2914,G2914,Κρήτη,Crete
Crete@Deu.2.23,Cretan,- Group,G2912,G2912,Κρής,Cretan
Cush@Gen.2.13,,- Named,H3568A,H3568a,כּוּשׁ,Cush
Cush@Gen.2.13,,- (same as previous),H3568A,H3568a,כּוּשׁ,Cushite
Cush@Gen.2.13,,- Group,H3569I,H3569,כּוּשִׁי,Cushite
Cush@Gen.2.13,,- Group,H3571,H3571,כּוּשִׁי,Cushitess
Cushan@Hab.3.7,,- Named,H3572,H3572,כּוּשָׁן,Cushan
Cuthar@2Ki.17.30,,- Named,H3575,H3575,כּוּתָה,Cuthah (NIV= Kuthah)
Cuthar@2Ki.17.30,Cuth,- (same as previous),H3575,H3575,כּוּתָה,Cuth (NIV= Kuthah)
Cyprus@Num.24.24,,- Named,H3794H,H3794,כִּתִּי,Cyprus (KJV= Chittim)
Cyprus@Num.24.24,Kittim,- (same as previous),H3794H,H3794,כִּתִּי,Kittim (KJV=Chittim; NIV=Cyprus)
Cyprus@Num.24.24,Kittim,- (same as previous),H3794H,H3794,כִּתִּי,Kittim (KJV=Chittim; NIV=western coastlands)
Cyprus@Num.24.24,Elishah,- Named,H0473H,H0473,אֱלִישָׁה,Elishah
Cyprus@Num.24.24,,Greek,G2953,G2953,Κύπριος,Cyprus
Cyprus@Num.24.24,,- Spelled,G2954,G2954,Κύπρος,Cyprus
Cyrene@Mat.27.32,,- Named,G2956,G2956,Κυρηναῖος,Cyrene
Cyrene@Mat.27.32,,- (same as previous),G2956,G2956,Κυρηναῖος,Cyrenian
Cyrene@Mat.27.32,,- Named,G2957,G2957,Κυρήνη,Cyrene
Dabbesheth@Jos.19.11,,- Named,H1708,H1708,דַּבֶּ֫שֶׁת,Dabbesheth
Daberath@Jos.19.12,,- Named,H1705,H1705,דָּֽבְרַת,Daberath
Dalmatia@2Ti.4.10,,- Named,G1149,G1149,Δαλματία,Dalmatia
Damascus@Gen.14.15,,- Named,H1834,H1834,דַּמֶּ֫שֶׂק,Damascus
Damascus@Gen.14.15,,Greek,G1153,G1153,Δαμασκηνός,Damascus
Damascus@Gen.14.15,,- Spelled,G1154,G1154,Δαμασκός,Damascus
Dan@Gen.14.14,,- Named,H1835G,H1835,דָּן,Dan
Dan@Gen.14.14,,- (same as previous),H1835G,H1835,דָּן,Danite
Dan@Gen.14.14,,- Named,H1839,H1839,דָּנִי,Dan
Dan@Gen.14.14,,- (same as previous),H1839,H1839,דָּנִי,Danite
Dan@Gen.14.14,Laish,- Named,H3919A,H3919a,לַ֫יִשׁ,Laish
Dan@Gen.14.14,Leshem,- Named,H3959,H3959,לֶ֫שֶׁם,Leshem
Dannah@Jos.15.49,,- Named,H1837,H1837,דַּנָּה,Dannah
Debir@Jos.10.38,,- Named,H1688A,H1688a,דְּבִיר,Debir
Debir@Jos.10.38,Kiriath-sannah,- Named,H7158,H7158,קִרְיַת־סֵ֫פֶר,Kiriath-sannah (NIV= Kiriath Sannah)
Debir@Jos.10.38,Kiriath-sepher,- (same as previous),H7158,H7158,קִרְיַת־סֵ֫פֶר,Kiriath-sepher (NIV= Kiriath Sepher)
Debir@Jos.15.7,,- Named,H1688G,H1688a,דְּבִיר,Debir
Decapolis@Mat.4.25,,- Named,G1179,G1179,Δεκάπολις,Decapolis
Dedan@Jer.25.23,,- Named,H1719A,H1719a,דְּדָן,Dedan
Dedan@Jer.25.23,,- (same as previous),H1719A,H1719a,דְּדָן,Dedan
Dedan@Jer.25.23,,- Group,H1720,H1720,דְּדָנִי,Dedanite
Derbe@Act.14.6,,- Named,G1190,G1190,Δερβαῖος,Derbe
Derbe@Act.14.6,,- Spelled,G1191,G1191,Δέρβη,Derbe
Diblathaim@Num.33.46,Almon-diblathaim,- Named,H5963,H5963,עַלְמֹן דִּבְלָתָיְמָה,Almon-diblathaim (NIV= Almon Diblathaim)
Diblathaim@Num.33.46,Beth-diblathaim,- Named,H1015,H1015,בֵּית דִּבְלָתָ֑יִם,Beth-diblathaim (NIV= Beth Diblathaim)
Dibon@Num.21.30,,- Named,H1769G,H1769,דִּיבֹן,Dibon
Dibon@Num.21.30,,- Spelled,H1775,H1775,דִּימוֹן,Dibon
Dibon@Num.21.30,Dibon-gad," - Name Combined",H1769I,,H1769,Dibon/-gad (NIV= Dibon Gad)
Dibon@Neh.11.25,,- Named,H1769H,H1769,"דִּיבֹן, דִּימוֹן",Dibon
Dilean@Jos.15.38,,- Named,H1810,H1810,דִּלְעָן,Dilean
Dimnah@Jos.21.35,,- Named,H1829,H1829,דִּמְנָה,Dimnah
Dimnah@Jos.21.35,Rimmon,- Named,H7417H,H7417c,"רִמּוֹן, רִמּוֹנוֹ",Rimmon
Dimnah@Jos.21.35,Rimmono,- (same as previous),H7417H,H7417c,"רִמּוֹן, רִמּוֹנוֹ",Rimmono
Dimonah@Jos.15.22,,- Named,H1776,H1776,דִּימוֹנָה,Dimonah
Dinhabah@Gen.36.32,,- Named,H1838,H1838,דִּנְהָ֑בָה,Dinhabah
Diviners'_Oak@Jdg.9.37,," - Name Combined",H6049G,,H6049b,Diviners'/ Oak (KJV= plain of Meonenim; NIV= diviners' tree)
Dizahab@Deu.1.1,,- Named,H1774,H1774,דִּי זָהָב,Dizahab
Dophkah@Num.33.12,,- Named,H1850,H1850,דׇּפְקָה,Dophkah
Dor@Jos.12.23,,- Named,H1756G,H1756,דֹּאר,Dor
Dor@Jos.12.23,Naphath-dor," - Name Combined",H5316H,,H5316,Naphath/-dor (KJV= coast of Dor)
Dor@Jos.12.23,Naphath-dor,- (same as previous),H5316H,,H5316,Naphath/-dor (KJV= region of Dor)
Dor@Jos.12.23,Naphath-dor,- (same as previous),H5316H,,H5316,Naphoth/-dor (KJV= borders of Dor; NIV= Naphoth Dor)
Dothan@Gen.37.17,,- Named,H1886,H1886,דֹּתָן,Dothan
Dragon_Spring@Neh.2.13,,- Named,H8577B,,H8577b,Dragon( Spring) (KJV= dragon well; NIV= Jackal Well)
Dragon_Spring@Neh.2.13,,- (same as previous),H5886,H5886,עֵין תַּנִּים,Dragon( Spring) (KJV= dragon well; NIV= Jackal Well)
Dumah@Isa.21.11,,- Named,H1746H,H1746,דּוּמָה,Dumah
Dumah@Jos.15.52,,- Named,H7316G,H7316,רוּמָה,Dumah
Dung_Gate@Neh.2.13,,- Named,H0830G,H0830,אַשְׁפֹּת,Dung( Gate)
Dura@Dan.3.1,,- Named,H1757,H1757,דּוּרָא,Dura
East@Jdg.6.3,,- Named,H6924A,H6924a,קֶ֫דֶם,East
East_Gate@Neh.3.29,,- Named,H4217G,H4217,מִזְרָח,East( Gate)
Ebal_Mount@Deu.11.29,,- Named,H5858C,H5858c,עֵיבָל,(Mount )Ebal
Ebal_Mount@Deu.11.29,Zalmon_Mount,- Named,H6756A,H6756a,צַלְמוֹן,(Mount )Zalmon
Ebal_Mount@Deu.11.29,Zalmon,- (same as previous),H6756A,H6756a,צַלְמוֹן,Zalmon
Ebal_Mount@Deu.11.29,Ephraim_Mount,- Named,H0669J,H0669,אֶפְרַ֫יִם,(Mount )Ephraim
Ebenezer@1Sa.4.1,,- Named,H0072,H0072,אֶבֶן הָעֵזֶר,Ebenezer
Ebez@Jos.19.20,,- Named,H0077,H0077,אֶ֫בֶץ,Ebez (KJV= Abez)
Ecbatana@Ezr.6.2,,- Named,H0307,H0307,אַחְמְתָא,Ecbatana
Eden@2Ki.19.12,,- Named,H5729,H5729,עֶ֫דֶן,Eden
Eden@Gen.2.8,,- Named,H5731B,H5731b,עֵ֫דֶן,Eden
Eder@Jos.15.21,,- Named,H5740B,H5740b,עֵ֫דֶר,Eder
Edom@Gen.36.40,,- Named,H0123G,H0123,אֱדוֹם,Edom
Edom@Gen.36.40,,- (same as previous),H0123G,H0123,אֱדוֹם,Edomite
Edom@Gen.36.40,,- Group,H0130,H0130,אֲדֹמִי,Edomite
Edom@Gen.36.40,,- (same as previous),H0130,H0130,אֲדֹמִי,"Edomite (=Qere, KJV= Aramean)"
Edom@Gen.36.40,Aromean,- (same as previous),H0726,H0726,אֲרוֹמִי,Aromean Edomite (=Ketiv)
Edom@Gen.36.40,Aramean,- Spelled,H0761I,H0761,אֲרַמִּי,Aramean (=Ketiv)
Edom@Gen.36.40,Syria,- Named,H0758M,H0758,אֲרָם,Edom (KJV= Syria)
Edom@Gen.36.40,Esau,- Named,H6215H,H6215,עֵשָׂו,Esau
Edom@Gen.36.40,Esau,Greek,G2269,G2269,Ἠσαῦ,Esau
Edom@Gen.36.40,Esau,- (same as previous),G2269,G2269,Ἠσαῦ,Esau
Edrei@Num.21.33,,- Named,H0154,H0154,אֶדְרֶ֫עִי,Edrei
Eglaim@Isa.15.8,,- Named,H0097,H0097,אֶגְלַ֫יִם,Eglaim
Eglath-shelishiyah@Isa.15.5,,- Named,H5697B,H5697b,עֶגְלַת,Eglath-shelishiyah (KJV= heifer of three years; NIV= Eglath Shelishiyah)
Eglon@Jos.10.3,,- Named,H5700G,H5700,עֶגְלוֹן,Eglon
Egypt@Gen.12.10,,- Named,H4714G,H4714,מִצְרַ֫יִם,Egypt
Egypt@Gen.12.10,,- (same as previous),H4714G,H4714,מִצְרַ֫יִם,Egyptian
Egypt@Gen.12.10,,- Spelled,H4693,H4693,מָצוֹר,Egypt
Egypt@Gen.12.10,,- Spelled,H4805G,H4805,מְרִי,"Egypt (KJV, NIV= rebellion)"
Egypt@Gen.12.10,Rahab,- Named,H7293,H7293,רַ֫הַב,Rahab
Egypt@Gen.12.10,,- Group,H4713,H4713,מִצְרִי,Egyptian
Egypt@Gen.12.10,,- (same as previous),H4713,H4713,מִצְרִי,Egypt
Egypt@Gen.12.10,,- (same as previous),H4713,H4713,מִצְרִי,Egyptian women
Egypt@Gen.12.10,,- (same as previous),H4713,H4713,מִצְרִי,they (KJV= Egyptians)
Egypt@Gen.12.10,,Greek,G0125,G0125,Αἴγυπτος,Egypt
Egypt@Gen.12.10,,- Group,G0124,G0124,Αἰγύπτιος,Egyptian
Egypt_Sea@Isa.11.15,,- Named,H4714I,H4714,מִצְרַ֫יִם,(Sea of )Egypt
Ekron@Jos.13.3,,- Named,H6138,H6138,עֶקְרוֹן,Ekron
Ekron@Jos.13.3,,- Spelled,H6139,H6139,עֶקְרוֹנִי,Ekron
Elah_Valley@1Sa.17.2,," - Name Combined",H0425L,,H0425,Valley/ of Elah
Elam@Gen.14.1,,- Named,H5867A,H5867a,עֵילָם,Elam
Elam@Gen.14.1,,- (same as previous),H5867A,H5867a,עֵילָם,Elam (=Qere. Ketiv= for ever)
Elam@Ezr.4.9,,- Aramaic,H5962,H5962,עֵלְמָיֵא,Elamite
Elam@Ezr.4.9,,Greek,G1639,G1639,Ἐλαμίτης,Elamite
Elath@Deu.2.8,,- Named,H0359A,H0359a,"אֵילַת, אֵילוֹת",Elath
Elath@Deu.2.8,Eloth,- Spelled,H0359B,H0359b,אֵילוֹת,Eloth (NIV= Elath)
Elealeh@Num.32.3,,- Named,H0500,H0500,אֶלְעָלֵא,Elealeh
Elim@Exo.15.27,,- Named,H0362,H0362,אֵילִם,Elim
Elkosh@Nam.1.1,,- Named,H0512,H0512,אֶלְקֹשִׁי,Elkosh
Ellasar@Gen.14.1,,- Named,H0495,H0495,אֶלָּסָר,Ellasar
Elon@Jos.19.43,,- Named,H0356I,H0356,אֵלוֹן,Elon
Elonbeth-hanan@1Ki.4.9,,- Named,H0358,H0358,אֵילוֹן בֵּית חָנָן,Elonbeth-hanan (KJV= Elon beth-hanan; NIV= Elon Bethhanan)
El-paran@Gen.14.6,,- Named,H0364,H0364,אֵיל פָּארָן,El-paran (NIV= El Paran)
Eltekeh@Jos.19.44,,- Named,H0514,H0514,אֶלְתְּקֵא,Eltekeh
Eltekeh@Jos.19.44,Elteke,- (same as previous),H0514,H0514,אֶלְתְּקֵא,Elteke
Eltekon@Jos.15.59,,- Named,H0515,H0515,אֶלְתְּקֹן,Eltekon
