from_unique_name,to_bcv_id
Amad@Jos.19.26,jos.19.26
Amalek@Gen.14.7,exo.17.8
Amalek@Gen.14.7,exo.17.9
Amalek@Gen.14.7,exo.17.10
Amalek@Gen.14.7,exo.17.11
Amalek@Gen.14.7,exo.17.13
Amalek@Gen.14.7,exo.17.14
Amalek@Gen.14.7,exo.17.16
Amalek@Gen.14.7,num.24.20
Amalek@Gen.14.7,num.24.20
Amalek@Gen.14.7,deu.25.17
Amalek@Gen.14.7,deu.25.19
Amalek@Gen.14.7,1sa.15.2
Amalek@Gen.14.7,1sa.15.3
Amalek@Gen.14.7,1sa.15.5
Amalek@Gen.14.7,1sa.15.20
Amalek@Gen.14.7,1sa.28.18
Amalek@Gen.14.7,2sa.8.12
Amalek@Gen.14.7,1ch.1.36
Amalek@Gen.14.7,1ch.18.11
Amalek@Gen.14.7,psa.83.7
Amalek@Gen.14.7,num.13.29
Amalek@Gen.14.7,jdg.3.13
Amalek@Gen.14.7,jdg.6.3
Amalek@Gen.14.7,jdg.6.33
Amalek@Gen.14.7,jdg.7.12
Amalek@Gen.14.7,jdg.10.12
Amalek@Gen.14.7,1sa.14.48
Amalek@Gen.14.7,1sa.15.6
Amalek@Gen.14.7,1sa.15.7
Amalek@Gen.14.7,1sa.15.8
Amalek@Gen.14.7,1sa.15.18
Amalek@Gen.14.7,1sa.15.20
Amalek@Gen.14.7,1sa.15.32
Amalek@Gen.14.7,1sa.30.18
Amalek@Gen.14.7,2sa.1.1
Amalek@Gen.14.7,1ch.4.43
Amalek@Gen.14.7,jdg.5.14
Amalek@Gen.14.7,gen.14.7
Amalek@Gen.14.7,num.14.25
Amalek@Gen.14.7,num.14.43
Amalek@Gen.14.7,num.14.45
Amalek@Gen.14.7,jdg.12.15
Amalek@Gen.14.7,1sa.15.6
Amalek@Gen.14.7,1sa.15.15
Amalek@Gen.14.7,1sa.27.8
Amalek@Gen.14.7,1sa.30.1
Amalek@Gen.14.7,1sa.30.13
Amalek@Gen.14.7,2sa.1.8
Amalek@Gen.14.7,2sa.1.13
Amam@Jos.15.26,jos.15.26
Amana@Sng.4.8,sng.4.8
Amaw@Num.22.5,num.22.5
Ammah@2Sa.2.24,2sa.2.24
Ammon@Deu.2.19,deu.2.19
Ammon@Deu.2.19,deu.2.19
Ammon@Deu.2.19,deu.2.37
Ammon@Deu.2.19,jdg.11.27
Ammon@Deu.2.19,2ch.20.10
Ammon@Deu.2.19,2ch.20.22
Ammon@Deu.2.19,2ch.20.23
Ammon@Deu.2.19,psa.83.7
Ammon@Deu.2.19,jer.9.26
Ammon@Deu.2.19,jer.25.21
Ammon@Deu.2.19,jer.27.3
Ammon@Deu.2.19,ezk.25.5
Ammon@Deu.2.19,gen.19.38
Ammon@Deu.2.19,num.21.24
Ammon@Deu.2.19,num.21.24
Ammon@Deu.2.19,deu.3.11
Ammon@Deu.2.19,deu.3.16
Ammon@Deu.2.19,jos.12.2
Ammon@Deu.2.19,jos.13.10
Ammon@Deu.2.19,jos.13.25
Ammon@Deu.2.19,jdg.3.13
Ammon@Deu.2.19,jdg.10.6
Ammon@Deu.2.19,jdg.10.7
Ammon@Deu.2.19,jdg.10.9
Ammon@Deu.2.19,jdg.10.11
Ammon@Deu.2.19,jdg.10.17
Ammon@Deu.2.19,jdg.10.18
Ammon@Deu.2.19,jdg.11.4
Ammon@Deu.2.19,jdg.11.5
Ammon@Deu.2.19,jdg.11.6
Ammon@Deu.2.19,jdg.11.8
Ammon@Deu.2.19,jdg.11.9
Ammon@Deu.2.19,jdg.11.12
Ammon@Deu.2.19,jdg.11.13
Ammon@Deu.2.19,jdg.11.14
Ammon@Deu.2.19,jdg.11.15
Ammon@Deu.2.19,jdg.11.28
Ammon@Deu.2.19,jdg.11.29
Ammon@Deu.2.19,jdg.11.30
Ammon@Deu.2.19,jdg.11.31
Ammon@Deu.2.19,jdg.11.32
Ammon@Deu.2.19,jdg.11.33
Ammon@Deu.2.19,jdg.11.36
Ammon@Deu.2.19,jdg.12.1
Ammon@Deu.2.19,jdg.12.2
Ammon@Deu.2.19,jdg.12.3
Ammon@Deu.2.19,1sa.11.11
Ammon@Deu.2.19,1sa.12.12
Ammon@Deu.2.19,1sa.14.47
Ammon@Deu.2.19,2sa.8.12
Ammon@Deu.2.19,2sa.10.1
Ammon@Deu.2.19,2sa.10.2
Ammon@Deu.2.19,2sa.10.3
Ammon@Deu.2.19,2sa.10.6
Ammon@Deu.2.19,2sa.10.6
Ammon@Deu.2.19,2sa.10.8
Ammon@Deu.2.19,2sa.10.10
Ammon@Deu.2.19,2sa.10.11
Ammon@Deu.2.19,2sa.10.14
Ammon@Deu.2.19,2sa.10.14
Ammon@Deu.2.19,2sa.10.19
Ammon@Deu.2.19,2sa.11.1
Ammon@Deu.2.19,2sa.12.9
Ammon@Deu.2.19,2sa.12.26
Ammon@Deu.2.19,2sa.12.31
Ammon@Deu.2.19,2sa.17.27
Ammon@Deu.2.19,1ki.11.7
Ammon@Deu.2.19,1ki.11.33
Ammon@Deu.2.19,2ki.23.13
Ammon@Deu.2.19,2ki.24.2
Ammon@Deu.2.19,1ch.18.11
Ammon@Deu.2.19,1ch.19.1
Ammon@Deu.2.19,1ch.19.2
Ammon@Deu.2.19,1ch.19.3
Ammon@Deu.2.19,1ch.19.6
Ammon@Deu.2.19,1ch.19.6
Ammon@Deu.2.19,1ch.19.7
Ammon@Deu.2.19,1ch.19.9
Ammon@Deu.2.19,1ch.19.11
Ammon@Deu.2.19,1ch.19.12
Ammon@Deu.2.19,1ch.19.15
Ammon@Deu.2.19,1ch.19.19
Ammon@Deu.2.19,1ch.20.1
Ammon@Deu.2.19,1ch.20.3
Ammon@Deu.2.19,2ch.20.1
Ammon@Deu.2.19,2ch.27.5
Ammon@Deu.2.19,2ch.27.5
Ammon@Deu.2.19,2ch.27.5
Ammon@Deu.2.19,isa.11.14
Ammon@Deu.2.19,jer.40.11
Ammon@Deu.2.19,jer.40.14
Ammon@Deu.2.19,jer.41.10
Ammon@Deu.2.19,jer.41.15
Ammon@Deu.2.19,jer.49.1
Ammon@Deu.2.19,jer.49.2
Ammon@Deu.2.19,jer.49.6
Ammon@Deu.2.19,ezk.21.20
Ammon@Deu.2.19,ezk.21.28
Ammon@Deu.2.19,ezk.25.2
Ammon@Deu.2.19,ezk.25.3
Ammon@Deu.2.19,ezk.25.10
Ammon@Deu.2.19,ezk.25.10
Ammon@Deu.2.19,dan.11.41
Ammon@Deu.2.19,amo.1.13
Ammon@Deu.2.19,zep.2.8
Ammon@Deu.2.19,zep.2.9
Ammon@Deu.2.19,neh.13.23
Ammon@Deu.2.19,deu.2.20
Ammon@Deu.2.19,deu.23.3
Ammon@Deu.2.19,1sa.11.1
Ammon@Deu.2.19,1sa.11.2
Ammon@Deu.2.19,2sa.23.37
Ammon@Deu.2.19,1ki.11.1
Ammon@Deu.2.19,1ki.11.5
Ammon@Deu.2.19,1ch.11.39
Ammon@Deu.2.19,2ch.26.8
Ammon@Deu.2.19,ezr.9.1
Ammon@Deu.2.19,neh.2.10
Ammon@Deu.2.19,neh.2.19
Ammon@Deu.2.19,neh.4.3
Ammon@Deu.2.19,neh.4.7
Ammon@Deu.2.19,neh.13.1
Ammon@Deu.2.19,1ki.14.21
Ammon@Deu.2.19,1ki.14.31
Ammon@Deu.2.19,2ch.12.13
Ammon@Deu.2.19,2ch.24.26
Ammon@Deu.2.19,gen.14.5
Ammon@Deu.2.19,deu.3.11
Ammon@Deu.2.19,jos.13.25
Ammon@Deu.2.19,jos.15.60
Ammon@Deu.2.19,2sa.11.1
Ammon@Deu.2.19,2sa.12.26
Ammon@Deu.2.19,2sa.12.27
Ammon@Deu.2.19,2sa.12.29
Ammon@Deu.2.19,2sa.17.27
Ammon@Deu.2.19,1ch.20.1
Ammon@Deu.2.19,1ch.20.1
Ammon@Deu.2.19,jer.49.2
Ammon@Deu.2.19,jer.49.3
Ammon@Deu.2.19,ezk.21.20
Ammon@Deu.2.19,ezk.25.5
Ammon@Deu.2.19,amo.1.14
Ammon@Deu.2.19,deu.3.11
Ammon@Deu.2.19,ezk.21.20
Amphipolis@Act.17.1,act.17.1
Anab@Jos.11.21,jos.11.21
Anab@Jos.11.21,jos.15.50
Anaharath@Jos.19.19,jos.19.19
Ananiah@Neh.11.32,neh.11.32
Anathoth@Jos.21.18,jos.21.18
Anathoth@Jos.21.18,1ki.2.26
Anathoth@Jos.21.18,1ch.6.60
Anathoth@Jos.21.18,ezr.2.23
Anathoth@Jos.21.18,neh.7.27
Anathoth@Jos.21.18,neh.11.32
Anathoth@Jos.21.18,isa.10.30
Anathoth@Jos.21.18,jer.1.1
Anathoth@Jos.21.18,jer.11.21
Anathoth@Jos.21.18,jer.11.23
Anathoth@Jos.21.18,jer.32.7
Anathoth@Jos.21.18,jer.32.8
Anathoth@Jos.21.18,jer.32.9
Anathoth@Jos.21.18,2sa.23.27
Anathoth@Jos.21.18,1ch.11.28
Anathoth@Jos.21.18,1ch.12.3
Anathoth@Jos.21.18,1ch.27.12
Anathoth@Jos.21.18,jer.29.27
Angle@2Ch.26.9,2ch.26.9
Anim@Jos.15.50,jos.15.50
Antioch@Act.6.5,act.11.19
Antioch@Act.6.5,act.11.20
Antioch@Act.6.5,act.11.22
Antioch@Act.6.5,act.11.26
Antioch@Act.6.5,act.11.26
Antioch@Act.6.5,act.11.27
Antioch@Act.6.5,act.13.1
Antioch@Act.6.5,act.14.26
Antioch@Act.6.5,act.15.22
Antioch@Act.6.5,act.15.23
Antioch@Act.6.5,act.15.30
Antioch@Act.6.5,act.15.35
Antioch@Act.6.5,act.18.22
Antioch@Act.6.5,gal.2.11
